Year,min,max,grid_num,pop_num,pop_mean,pop_25%,pop_median,pop_75%,pop_std,pop_gini,pop_theil,pop_MLD,p90_p10,p80_p20
2014,0.0,110.50191,13833452,1350279441,12.168886957293257,0.0,7.20189,19.912092,14.15543343658542,0.6042892486128489,0.3437187564113414,0.5371957716055611,19.85597089197716,6.476752764511257
2015,0.0,560.2677,13833500,1376500044,12.273495857694664,0.0,7.6965294,19.228014,14.003934087328146,0.5927036093808209,0.3469791949545767,0.5410966651365315,19.84540542409779,6.435647341658747
2016,0.0,198.0545,13833550,1368724941,12.854580079217124,0.1459122704398148,8.379670862903227,20.198324340392563,14.356635299813505,0.5827159661532495,0.3411731983761169,0.5248934515283178,19.036064949501963,6.300954233864183
2017,0.0,91.99964,13833555,1391304348,13.710834341359625,0.33731753,9.567942,21.071909,14.84075733137198,0.5726394018308102,0.328750026827705,0.5070647236332652,18.079547694015055,6.163085184144057
2018,0.0,104.130066,13833555,1396681456,14.621886275374365,1.1819074401992966,10.52777,22.21636413582135,15.162525159464035,0.5548142015513085,0.31913991584816775,0.4841266810974992,16.99472523239769,5.813993040150539
2019,0.0,94.47089,13833557,1401894296,15.358136010972402,1.6402452373493976,11.109850665736966,23.399305298507464,15.65046178707808,0.5473826892983135,0.3149790694303955,0.47525109612430594,16.401335133553417,5.719864974804096
2020,0.0,115.71468,13843306,1398531979,16.167008333900117,2.3488631,12.0265,24.499184,15.96954154580316,0.5338942115163837,0.3049443633557306,0.4560802064234846,15.321358211684977,5.444599165600197
2021,0.0,88.45333,13843324,1380162187,17.229051180221838,3.3174966060534015,13.022589,25.749313061178245,16.472458099069737,0.519530873960818,0.29943789991855985,0.4435506290732381,14.45406783117511,5.313218771556746
2022,0.0,84.20484,13843359,1403201683,17.689207143545147,3.5893803546590908,13.479760079289203,26.233992965725808,16.767040906172266,0.5154605773897711,0.29592723251560266,0.4373480628065309,14.038886575677655,5.1545982357227125
2023,0.0,89.61644,13843359,1404084039,18.126308124048286,3.9771132,13.877391071045576,26.623934632241813,17.055355641575574,0.5116270384667401,0.2943957774496014,0.43220010669453107,13.4353408517497,5.044886183773003
2024,0.0,97.96801,13843359,1404084039,18.57803285023952,4.2962327,14.249802121698112,27.41124921082447,17.311020459146537,0.5074287675743989,0.2930267862287029,0.43033753225021926,13.282152929295673,5.055670359249856
